state,staterr,varname,year,race_ethn,age,c_mn,se_tot,c_upr,c_lwr
4,AZ,Confirmed Maltreatment,2014,AI/AN,18,0.12131924681711045,0.003837902834893814,0.12884153637350232,0.11379695726071858
4,AZ,Termination,2014,AI/AN,18,0.05793805525149806,0.0027595171598795896,0.06334670888486206,0.05252940161813407
4,AZ,Foster Care,2015,AI/AN,18,0.10390054270225724,0.00368367348330416,0.1111205427295334,0.09668054267498108
4,AZ,Investigation,2015,AI/AN,18,0.30121952039063604,0.005232050750480659,0.31147433986157813,0.29096470091969395
4,AZ,Confirmed Maltreatment,2015,AI/AN,18,0.0873057920138501,0.0033483618460827297,0.09386858123217225,0.08074300279552794
4,AZ,Termination,2015,AI/AN,18,0.04641114687621524,0.0025100690933589883,0.051330882299198854,0.041491411453231625
4,AZ,Foster Care,2016,AI/AN,18,0.10484619116272653,0.0035655188183023544,0.11183460804659914,0.09785777427885392
4,AZ,Investigation,2016,AI/AN,18,0.3559310683842408,0.005614108779612269,0.36693472159228085,0.3449274151762008
4,AZ,Confirmed Maltreatment,2016,AI/AN,18,0.09991412251905728,0.003516867476048072,0.1068071827721115,0.09302106226600305
4,AZ,Termination,2016,AI/AN,18,0.04295942158438229,0.0025610030644660797,0.04797898759073581,0.03793985557802877
4,AZ,Foster Care,2017,AI/AN,18,0.08273272434324212,0.0034460909733298366,0.0894870626509686,0.07597838603551564
4,AZ,Investigation,2017,AI/AN,18,0.43928844164934233,0.005510193100756671,0.45008842012682543,0.42848846317185924
4,AZ,Confirmed Maltreatment,2017,AI/AN,18,0.15048939052515237,0.004347475065973987,0.15901044165446138,0.14196833939584336
4,AZ,Termination,2017,AI/AN,18,0.019778423742974796,0.0017821799453142594,0.023271496435790746,0.016285351050158846
4,AZ,Foster Care,2018,AI/AN,18,0.08230951168419014,0.003380477200249839,0.08893524699667982,0.07568377637170046
4,AZ,Investigation,2018,AI/AN,18,0.3440881260503824,0.005532246108440004,0.3549313284229248,0.33324492367784003
4,AZ,Confirmed Maltreatment,2018,AI/AN,18,0.14357080843968587,0.004248071594113057,0.15189702876414746,0.13524458811522427
4,AZ,Termination,2018,AI/AN,18,0.0010408624027911095,4.338943691163258e-4,0.001891295366259108,1.9042943932311097e-4
5,AR,Foster Care,2008,AI/AN,18,0.08364601078655748,0.013567169916926464,0.11023766382373335,0.05705435774938161
5,AR,Investigation,2008,AI/AN,18,0.3973299572529435,0.0222818187403242,0.44100232198397893,0.3536575925219081
5,AR,Confirmed Maltreatment,2008,AI/AN,18,0.167486103093463,0.018179900761902196,0.20311870858679132,0.1318534976001347
5,AR,Termination,2008,AI/AN,18,0.036789563757932076,0.009453808005853352,0.055319027449404645,0.018260100066459506
5,AR,Foster Care,2009,AI/AN,18,0.04660291928927371,0.010065103989842061,0.06633052310936415,0.02687531546918327
5,AR,Investigation,2009,AI/AN,18,0.4068316651641556,0.021369818478082083,0.44871650938119645,0.3649468209471147
5,AR,Confirmed Maltreatment,2009,AI/AN,18,0.12975417413907453,0.01587471774762536,0.16086862092442022,0.09863972735372882
5,AR,Termination,2009,AI/AN,18,0.0770263290085379,0.013092266146074552,0.10268717065484402,0.051365487362231774
5,AR,Foster Care,2010,AI/AN,18,0.09285054418414052,0.013478788333878415,0.11926896931854221,0.06643211904973882
5,AR,Investigation,2010,AI/AN,18,0.44322122649729834,0.020738863476448644,0.48386939891113767,0.402573054083459
5,AR,Confirmed Maltreatment,2010,AI/AN,18,0.13381512647869884,0.01570567940391283,0.164598258110368,0.10303199484702968
5,AR,Termination,2010,AI/AN,18,0.03321685118051493,0.0084956055044373,0.04986823796921204,0.01656546439181782
5,AR,Foster Care,2011,AI/AN,18,0.0837293968499178,0.012435719837071757,0.10810340773057844,0.05935538596925716
5,AR,Investigation,2011,AI/AN,18,0.3598563458213965,0.01984392682091912,0.3987504423903979,0.320962249252395
5,AR,Confirmed Maltreatment,2011,AI/AN,18,0.2052351518252611,0.017463840799295867,0.23946427979188098,0.1710060238586412
5,AR,Termination,2011,AI/AN,18,0.07635347278684179,0.01196023980286051,0.09979554280044839,0.052911402773235194
5,AR,Foster Care,2012,AI/AN,18,0.09442514255468719,0.01356692157219776,0.1210163088361948,0.06783397627317958
5,AR,Investigation,2012,AI/AN,18,0.39830343091806913,0.02071512065675734,0.43890506740531354,0.3577017944308247
5,AR,Confirmed Maltreatment,2012,AI/AN,18,0.15076754208832444,0.016249793990752263,0.18261713831019888,0.11891794586644999
5,AR,Termination,2012,AI/AN,18,0.06922088203234245,0.01173929272617271,0.09222989577564096,0.04621186828904393
5,AR,Foster Care,2013,AI/AN,18,0.07132892720524094,0.011681277916494199,0.09422423192156956,0.04843362248891231
5,AR,Investigation,2013,AI/AN,18,0.36769714149025146,0.020344792824633005,0.40757293542653217,0.32782134755397074
5,AR,Confirmed Maltreatment,2013,AI/AN,18,0.12819825372067398,0.015210802899196815,0.15801142740309973,0.09838508003824822
5,AR,Termination,2013,AI/AN,18,0.08380236315550404,0.01283230487375176,0.1089536807080575,0.0586510456029506
5,AR,Foster Care,2014,AI/AN,18,0.08738841121436926,0.013392360423841735,0.11363743764509907,0.06113938478363946
5,AR,Investigation,2014,AI/AN,18,0.4015594961497181,0.02054728200678782,0.44183216888302224,0.36128682341641394
5,AR,Confirmed Maltreatment,2014,AI/AN,18,0.1269793524564507,0.015384138863600972,0.15713226462910862,0.0968264402837928
5,AR,Termination,2014,AI/AN,18,0.07917318554103647,0.013093809437494103,0.10483705203852492,0.053509319043548026
5,AR,Foster Care,2015,AI/AN,18,0.11762476217154909,0.014619544164400915,0.1462790687337749,0.08897045560932329
5,AR,Investigation,2015,AI/AN,18,0.4013487765158578,0.020702682183452562,0.4419260335954248,0.3607715194362908
5,AR,Confirmed Maltreatment,2015,AI/AN,18,0.19594131934204345,0.017799682485872426,0.2308286970143534,0.1610539416697335
5,AR,Termination,2015,AI/AN,18,0.06328650798121704,0.01147981464048292,0.08578694467656356,0.04078607128587052
5,AR,Foster Care,2016,AI/AN,18,0.1349491578776141,0.015215314504487458,0.16477117430640953,0.10512714144881868
5,AR,Investigation,2016,AI/AN,18,0.40063256963057325,0.020027181484213997,0.4398858453396327,0.3613792939215138
5,AR,Confirmed Maltreatment,2016,AI/AN,18,0.17102609617233597,0.016456334396051354,0.2032805115885966,0.13877168075607532
5,AR,Termination,2016,AI/AN,18,0.0627252625848691,0.01082521095006664,0.08394267604699972,0.041507849122738485
5,AR,Foster Care,2017,AI/AN,18,0.08290087176853711,0.01230901222446931,0.10702653572849696,0.05877520780857726
5,AR,Investigation,2017,AI/AN,18,0.5469918488096034,0.01899329318298672,0.5842187034482573,0.5097649941709494
5,AR,Confirmed Maltreatment,2017,AI/AN,18,0.23685869249269126,0.018169445105115326,0.2724708048987173,0.2012465800866652
5,AR,Termination,2017,AI/AN,18,0.029957763622026734,0.007659821736593154,0.04497101422574932,0.014944513018304151
5,AR,Foster Care,2018,AI/AN,18,0.07739375513371263,0.011807430901961818,0.1005363197015578,0.05425119056586747
5,AR,Investigation,2018,AI/AN,18,0.3403998453536051,0.01957841912926363,0.37877354684696185,0.3020261438602484
5,AR,Confirmed Maltreatment,2018,AI/AN,18,0.11724365090065682,0.014208028560020715,0.14509138687829742,0.08939591492301621
5,AR,Termination,2018,AI/AN,18,0,0,0,0
6,CA,Foster Care,2008,AI/AN,18,0.1207651076462731,0.004548207940161437,0.12967959520898953,0.11185062008355669
6,CA,Investigation,2008,AI/AN,18,0.20800789998059022,0.004386220418499681,0.2166048920008496,0.19941090796033084
6,CA,Confirmed Maltreatment,2008,AI/AN,18,0.11357530835133492,0.003213994418437222,0.11987473741147188,0.10727587929119796
6,CA,Termination,2008,AI/AN,18,0.04542149342907839,0.002280325888211305,0.04989093216997255,0.04095205468818423
6,CA,Foster Care,2009,AI/AN,18,0.06002571235230804,0.0023822448253045564,0.06469491220990498,0.05535651249471111
6,CA,Investigation,2009,AI/AN,18,0.18414230669821124,0.0037329928951784597,0.19145897277276103,0.17682564062366146
6,CA,Confirmed Maltreatment,2009,AI/AN,18,0.08696736390225178,0.0027372551994435668,0.09233238409316116,0.0816023437113424
6,CA,Termination,2009,AI/AN,18,0.038082455683416463,0.001992857931279926,0.041988457228725115,0.03417645413810781
6,CA,Foster Care,2010,AI/AN,18,0.05941361833317785,0.002206634962653303,0.06373862285997832,0.055088613806377376
6,CA,Investigation,2010,AI/AN,18,0.17201642949503082,0.003947162307969611,0.17975286761865125,0.1642799913714104
6,CA,Confirmed Maltreatment,2010,AI/AN,18,0.0856885778118646,0.0025545311780158556,0.09069545892077568,0.08068169670295353
6,CA,Termination,2010,AI/AN,18,0.03459421624793137,0.0017495381334366625,0.03802331098946723,0.03116512150639551
6,CA,Foster Care,2011,AI/AN,18,0.05660051522403228,0.0020538362900995393,0.06062603435262738,0.052574996095437185
6,CA,Investigation,2011,AI/AN,18,0.15941694308961826,0.0034450372542864025,0.1661692161080196,0.15266467007121692
6,CA,Confirmed Maltreatment,2011,AI/AN,18,0.08093044787426489,0.0024120996718050946,0.08565816323100287,0.0762027325175269
6,CA,Termination,2011,AI/AN,18,0.034491228001307356,0.0016833160639436778,0.037790527486636964,0.031191928515977747
6,CA,Foster Care,2012,AI/AN,18,0.06662870798871713,0.002448230290117003,0.07142723935734646,0.06183017662008781
6,CA,Investigation,2012,AI/AN,18,0.16746839734781682,0.003455374129660367,0.17424093064195115,0.1606958640536825
6,CA,Confirmed Maltreatment,2012,AI/AN,18,0.087179828448047475,0.002640875376178758,0.09235594418535784,0.08200371271073711
6,CA,Termination,2012,AI/AN,18,0.037779418577696566,0.002013737966288459,0.04172634499162194,0.03383249216377119
6,CA,Foster Care,2013,AI/AN,18,0.06636392262578582,0.00240612711548048,0.07107993177212756,0.06164791347944408
6,CA,Investigation,2013,AI/AN,18,0.1823414753760706,0.0040719540066931495,0.19032250522918917,0.17436044552295202
6,CA,Confirmed Maltreatment,2013,AI/AN,18,0.09027495407066706,0.0027700910518054555,0.09570433253220575,0.08484557560912837
6,CA,Termination,2013,AI/AN,18,0.04875552857232178,0.0022436553309496663,0.05315309302098312,0.044357964123660436
6,CA,Foster Care,2014,AI/AN,18,0.06369911423566782,0.0025898153953723448,0.06877515241059762,0.05862307606073802
6,CA,Investigation,2014,AI/AN,18,0.17993056020329162,0.0036789485122522645,0.18714129928730605,0.1727198211192772
6,CA,Confirmed Maltreatment,2014,AI/AN,18,0.09417350359539235,0.002858778464052339,0.09977670938493494,0.08857029780584977
6,CA,Termination,2014,AI/AN,18,0.04843031494682906,0.0023524785661605276,0.0530411729365037,0.043819456957154425
6,CA,Foster Care,2015,AI/AN,18,0.09965397101184413,0.0036692699752034967,0.10684574016324298,0.09246220186044528
6,CA,Investigation,2015,AI/AN,18,0.18314232655536827,0.0038267792743853246,0.1906428139331635,0.17564183917757303
6,CA,Confirmed Maltreatment,2015,AI/AN,18,0.09311853705675982,0.002811170345768366,0.09862843093446581,0.08760864317905383
6,CA,Termination,2015,AI/AN,18,0.03831390667835116,0.002207075170241289,0.04263977401202409,0.033988039344678235
6,CA,Foster Care,2016,AI/AN,18,0.10269084261551086,0.0038975835562969196,0.11033010638585282,0.09505157884516889
6,CA,Investigation,2016,AI/AN,18,0.18082913885909535,0.0039024970256176807,0.188478033029306,0.1731802446888847
6,CA,Confirmed Maltreatment,2016,AI/AN,18,0.09834937856233747,0.0029292148948403514,0.10409063975622455,0.092608117368450385
6,CA,Termination,2016,AI/AN,18,0.028685855106936206,0.001750698294418034,0.032117223763995555,0.02525448644987686
6,CA,Foster Care,2017,AI/AN,18,0.07736967237503524,0.0030001807096593286,0.08325002656596753,0.07148931818410295
6,CA,Investigation,2017,AI/AN,18,0.22519474026069475,0.004048519350753492,0.2331298381881716,0.2172596423332179
6,CA,Confirmed Maltreatment,2017,AI/AN,18,0.11390842764045271,0.0031073809340934496,0.11999889427127587,0.10781796100962955
6,CA,Termination,2017,AI/AN,18,0.008510433603003575,8.914441785388762e-4,0.010257664192939773,0.006763203013067378
6,CA,Foster Care,2018,AI/AN,18,0.05529936879920523,0.0024397288557329306,0.060081237356441775,0.05051750024196869
6,CA,Investigation,2018,AI/AN,18,0.17313769048881916,0.003653479515764842,0.18029851033971825,0.16597687063792008
6,CA,Confirmed Maltreatment,2018,AI/AN,18,0.07313723205488573,0.0025422838825441907,0.07812010846467235,0.06815435564509911
6,CA,Termination,2018,AI/AN,18,5.518825389610599e-4,2.1643037422099573e-4,9.760860724342115e-4,1.2767900548790826e-4
8,CO,Foster Care,2008,AI/AN,18,0.08880471087558976,0.007870528920046553,0.104230947558881,0.07337847419229852
8,CO,Investigation,2008,AI/AN,18,0.26513460134510897,0.012854127346861048,0.2903286909449566,0.23994051174526132
8,CO,Confirmed Maltreatment,2008,AI/AN,18,0.11216953920243043,0.008624711476060025,0.12907397369550808,0.09526510470935279
8,CO,Termination,2008,AI/AN,18,0.029057065031101503,0.004811814068640268,0.038488220605636426,0.01962590945656658
8,CO,Foster Care,2009,AI/AN,18,0.07288395427406019,0.006959155581470674,0.08652389921374272,0.05924400933437767
8,CO,Investigation,2009,AI/AN,18,0.2440558971552168,0.014244639863652323,0.2719753912879754,0.21613640302245826
8,CO,Confirmed Maltreatment,2009,AI/AN,18,0.11556723318934221,0.00858130621189419,0.13238659336465483,0.0987478730140296
8,CO,Termination,2009,AI/AN,18,0.029562401922364256,0.004638783440860532,0.0386544174664509,0.020470386378277614
8,CO,Foster Care,2010,AI/AN,18,0.05965334861639901,0.006002377733724,0.07141800897449804,0.04788868825829997
8,CO,Investigation,2010,AI/AN,18,0.2109541740608391,0.011183747836433547,0.23287431982024887,0.18903402830142935
8,CO,Confirmed Maltreatment,2010,AI/AN,18,0.0999336404126987,0.0075473976125293605,0.11472653973325625,0.08514074109214115
8,CO,Termination,2010,AI/AN,18,0.020991528204316268,0.003680918433668522,0.028206128334306572,0.013776928074325965
8,CO,Foster Care,2011,AI/AN,18,0.06391102828494004,0.005972261395999293,0.07561666062109865,0.05220539594878142
8,CO,Investigation,2011,AI/AN,18,0.20968530624175957,0.012657860959850348,0.23449471372306627,0.18487589876045288
8,CO,Confirmed Maltreatment,2011,AI/AN,18,0.09580544743970158,0.00729206369534631,0.11009789228258035,0.08151300259682281
8,CO,Termination,2011,AI/AN,18,0.019731034342950426,0.0034128586052246486,0.026420237209190737,0.013041831476710116
8,CO,Foster Care,2012,AI/AN,18,0.045118675817105325,0.005115455201903951,0.05514496801283707,0.03509238362137358
8,CO,Investigation,2012,AI/AN,18,0.20683430147335147,0.012151972223753896,0.2306521670319091,0.18301643591479383
