county_name,subyr,rpts,pop,rpt_rt
forsyth,2014,318,4416,72.01086956521739
forsyth,2015,305,4224,72.20643939393939
forsyth,2016,408,4315,94.55388180764774
forsyth,2017,438,4353,100.62026188835287
forsyth,2018,387,4170,92.80575539568345
gaston,2010,363,2524,143.81933438985737
gaston,2011,362,2560,141.40625
gaston,2012,446,2561,174.15072237407261
gaston,2013,453,2414,187.6553438276719
gaston,2014,461,2382,193.53484466834593
gaston,2015,457,2617,174.6274359954146
gaston,2016,525,2490,210.84337349397592
gaston,2017,511,2478,206.21468926553672
gaston,2018,599,2506,239.02633679169995
guilford,2010,468,5890,79.45670628183362
guilford,2011,427,5942,71.8613261528105
guilford,2012,418,6035,69.26263463131733
guilford,2013,510,6212,82.09916291049582
guilford,2014,541,6134,88.19693511574829
guilford,2015,673,6170,109.07617504051863
guilford,2016,636,6179,102.9292765819712
guilford,2017,582,6056,96.10303830911494
guilford,2018,122,6076,20.07899934167215
harnett,2010,145,1708,84.89461358313817
harnett,2011,150,1683,89.12655971479501
harnett,2012,170,1712,99.29906542056075
harnett,2013,132,1772,74.4920993227991
harnett,2014,135,1945,69.40874035989718
harnett,2015,161,1875,85.86666666666666
harnett,2016,101,1801,56.079955580233204
harnett,2017,181,1816,99.66960352422907
harnett,2018,170,1790,94.97206703910614
henderson,2010,190,1118,169.94633273703042
henderson,2011,169,1069,158.0916744621141
henderson,2012,170,1065,159.6244131455399
henderson,2014,163,1009,161.54608523290386
henderson,2015,208,1087,191.35234590616375
henderson,2016,193,1050,183.80952380952382
henderson,2017,201,1044,192.5287356321839
henderson,2018,199,1040,191.34615384615384
iredell,2010,174,1792,97.09821428571429
iredell,2011,161,1788,90.04474272930649
iredell,2012,176,1672,105.26315789473684
iredell,2013,173,1750,98.85714285714285
iredell,2014,191,1739,109.83323749281196
iredell,2015,193,1738,111.04718066743382
iredell,2016,199,1919,103.69984366857739
iredell,2017,215,1843,116.65762344004341
iredell,2018,205,1868,109.74304068522484
johnston,2010,146,2306,63.31309627059844
johnston,2011,142,2132,66.60412757973734
johnston,2012,171,2222,76.95769576957696
johnston,2013,146,2113,69.09607193563653
johnston,2014,133,2222,59.855985598559855
johnston,2015,166,2202,75.386012715713
johnston,2016,152,2154,70.56638811513463
johnston,2017,174,2350,74.04255319148936
johnston,2018,170,2321,73.24429125376993
mecklenburg,2010,1221,13676,89.28049137174612
mecklenburg,2011,1280,13718,93.30806239976673
mecklenburg,2012,1208,13801,87.52988913846822
mecklenburg,2013,1260,13895,90.6801007556675
mecklenburg,2014,1226,14092,86.99971615100768
mecklenburg,2015,1312,14625,89.70940170940172
mecklenburg,2016,1411,14900,94.6979865771812
mecklenburg,2017,1460,14897,98.00630999530107
mecklenburg,2018,1366,14795,92.32848935451166
moore,2015,109,1042,104.60652591170826
moore,2016,127,1090,116.51376146788992
moore,2017,111,1090,101.8348623853211
moore,2018,141,1103,127.83318223028107
nash,2010,94,1123,83.70436331255566
nash,2011,101,1074,94.04096834264432
nash,2012,113,1058,106.80529300567109
nash,2014,118,1053,112.0607787274454
nash,2017,113,1002,112.77445109780439
new hanover,2010,336,2239,150.06699419383654
new hanover,2011,309,2216,139.4404332129964
new hanover,2012,319,2291,139.2405063291139
new hanover,2013,286,2183,131.01236830050388
new hanover,2014,305,2248,135.67615658362988
new hanover,2015,307,2283,134.47218572054314
new hanover,2016,278,2289,121.45041502839668
new hanover,2017,357,2243,159.1618368256799
new hanover,2018,367,2222,165.16651665166518
onslow,2010,396,4075,97.17791411042944
onslow,2011,452,4351,103.8841645598713
onslow,2012,376,4084,92.0666013712047
onslow,2013,373,4461,83.61353956511992
onslow,2014,378,4184,90.34416826003824
onslow,2015,425,4205,101.07015457788347
onslow,2016,361,4010,90.02493765586036
onslow,2017,440,3916,112.35955056179775
onslow,2018,400,3867,103.43935867597621
orange,2010,99,1240,79.83870967741935
orange,2011,102,1245,81.9277108433735
orange,2012,97,1154,84.05545927209705
orange,2013,98,1270,77.16535433070867
orange,2014,90,1168,77.05479452054794
orange,2015,89,1240,71.7741935483871
orange,2016,94,1181,79.59356477561388
orange,2017,91,1174,77.51277683134583
pitt,2010,127,2200,57.72727272727273
pitt,2011,148,2029,72.94233612617053
pitt,2012,169,2064,81.87984496124032
pitt,2013,177,2028,87.27810650887574
pitt,2014,168,2109,79.65860597439544
pitt,2015,188,2114,88.93093661305582
pitt,2016,189,2014,93.84309831181729
pitt,2017,184,2034,90.46214355948868
pitt,2018,163,1919,84.94007295466388
randolph,2010,172,1633,105.32761788120025
randolph,2011,141,1547,91.14414996767937
randolph,2012,191,1575,121.26984126984127
randolph,2013,156,1588,98.2367758186398
randolph,2014,168,1471,114.2080217539089
randolph,2015,158,1593,99.18392969240426
randolph,2016,144,1535,93.81107491856677
randolph,2017,190,1550,122.58064516129032
randolph,2018,190,1510,125.82781456953643
robeson,2010,301,2051,146.75767918088735
robeson,2011,328,1979,165.7402728650834
robeson,2012,310,1788,173.37807606263982
robeson,2013,339,1900,178.42105263157896
robeson,2014,351,1854,189.32038834951456
robeson,2015,345,1749,197.25557461406518
robeson,2016,356,1726,206.25724217844726
robeson,2017,366,1698,215.547703180212
robeson,2018,370,1645,224.92401215805472
rowan,2010,241,1611,149.59652389819988
rowan,2011,184,1481,124.24037812288994
rowan,2012,206,1469,140.23144996596324
rowan,2013,249,1482,168.0161943319838
rowan,2014,228,1455,156.70103092783506
rowan,2015,249,1568,158.80102040816328
rowan,2016,252,1508,167.10875331564986
rowan,2017,239,1557,153.50032113037892
rowan,2018,189,1576,119.9238578680203
union,2010,171,2462,69.4557270511779
union,2011,154,2337,65.89644843816859
union,2012,204,2279,89.5129442738043
union,2013,150,2280,65.78947368421052
union,2014,161,2357,68.30717013152312
union,2015,213,2335,91.22055674518201
union,2016,188,2353,79.89800254993625
union,2017,171,2366,72.27387996618765
union,2018,159,2401,66.22240733027905
wake,2010,648,12666,51.160587399336805
wake,2011,557,12427,44.82175907298624
wake,2012,544,12193,44.61576314278685
wake,2013,618,12288,50.29296875
wake,2014,545,12596,43.267704033026355
wake,2015,569,12672,44.902146464646464
wake,2016,465,12942,35.92953175707
wake,2017,540,12932,41.75688215279926
wake,2018,625,12903,48.438347671084244
wayne,2010,188,1667,112.77744451109778
wayne,2011,131,1612,81.26550868486353
wayne,2012,156,1728,90.27777777777777
wayne,2013,146,1689,86.44168146832446
wayne,2014,153,1728,88.54166666666667
wayne,2015,141,1636,86.18581907090464
wayne,2016,133,1620,82.09876543209876
wayne,2017,106,1551,68.34300451321727
wayne,2018,127,1539,82.5211176088369
wilson,2010,99,1031,96.02327837051406
